book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url
5919,265205,265205,19119097,183,310919797,9780310919800,"Anonymous, Ronald A. Beers, Ronald A. Beers",1992,,"Life Application Study Bible: NIV",eng,4.67,13614,14774,270,239,207,670,1992,11666,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
9141,9329354,9329354,27679568,19,575097361,9780575097360,"Brandon Sanderson",2011,"The Way of Kings, Part 1","The Way of Kings, Part 1 (The Stormlight Archive #1.1)",eng,4.67,9792,10117,453,40,93,408,2078,7498,https://images.gr-assets.com/books/1357609842m/9329354.jpg,https://images.gr-assets.com/books/1357609842s/9329354.jpg
4778,5883777,5883777,21899016,627,,0,Anonymous,2001,"Holy Bible English Standard Version","The Holy Bible: English Standard Version",eng,4.66,17863,23236,591,652,431,1082,1909,19162,https://images.gr-assets.com/books/1328227151m/5883777.jpg,https://images.gr-assets.com/books/1328227151s/5883777.jpg
5580,24494,24494,25344,15,836218523,9780836218530,"Bill Watterson",1989,"The Calvin and Hobbes Lazy Sunday Book","The Calvin and Hobbes Lazy Sunday Book",eng,4.66,18641,18840,187,60,157,1075,3478,14070,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2101,99298,99298,5994366,17,439249546,9780439249550,"J.K. Rowling, Mary GrandPré",1999,"Harry Potter Boxed Set Books 1-4","The Harry Potter Collection 1-4 (Harry Potter, #1-4)",eng,4.66,43929,44842,265,307,424,2346,8186,33579,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
5344,18337259,18337259,40783698,6,,9780345536150,"Daniel Abraham, George R.R. Martin, Tommy Patterson",2011,"A Song of Ice and Fire Graphic Novels","A Game of Thrones: Comic Book, Issue 1",eng,4.65,18667,20181,188,154,190,879,4215,14743,https://images.gr-assets.com/books/1376738412m/18337259.jpg,https://images.gr-assets.com/books/1376738412s/18337259.jpg
8109,23753,23753,1789924,5,1401210821,9781401210820,"Neil Gaiman, Mike Dringenberg, Chris Bachalo, Michael Zulli, Kelly Jones, Charles Vess, Colleen Doran, Malcolm Jones III, Steve Parkhouse, Daniel Vozzo, Lee Loughridge, Steve Oliff, Todd Klein, Dave McKean, Sam Kieth",2006,"The Absolute Sandman, Volume One","The Absolute Sandman, Volume One",eng,4.65,13401,13726,476,72,128,684,2744,10098,https://images.gr-assets.com/books/1312226853m/23753.jpg,https://images.gr-assets.com/books/1312226853s/23753.jpg
1010,43070,43070,2244438,26,836218051,9780836218050,"Bill Watterson",1988,"The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury","The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury",en-US,4.65,93001,95543,598,717,895,5387,17566,70978,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
562,7235533,7235533,8134945,48,765326353,9780765326360,"Brandon Sanderson",2010,"The Way of Kings","The Way of Kings (The Stormlight Archive, #1)",eng,4.64,144822,164477,10947,1085,1827,7661,33962,119942,https://images.gr-assets.com/books/1388184640m/7235533.jpg,https://images.gr-assets.com/books/1388184640s/7235533.jpg
4868,481749,481749,321161,115,875793266,9780875793270,"James E. Talmage",1915,"Jesus the Christ: A Study of the Messiah and His Mission according to Holy Scriptures both Ancient and Modern","Jesus the Christ",,4.63,17179,18710,1066,354,241,926,2909,14280,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1788,24813,24813,692719,17,836204387,9780836204380,"Bill Watterson",1995,"The Calvin and Hobbes Tenth Anniversary Book","The Calvin and Hobbes Tenth Anniversary Book",eng,4.63,48280,48829,346,346,608,3077,8752,36046,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2149,9814682,9814682,21619517,15,345529057,9780345529050,"George R.R. Martin",2011,,"A Song of Ice and Fire (A Song of Ice and Fire, #1-4)",en-US,4.63,28654,39174,963,219,431,1953,8453,28118,https://images.gr-assets.com/books/1328046798m/9814682.jpg,https://images.gr-assets.com/books/1328046798s/9814682.jpg
2527,12177850,12177850,21619530,31,1780484259,9781780484260,"George R.R. Martin",2000,"A Song of Ice and Fire","A Song of Ice and Fire (A Song of Ice and Fire, #1-5)",eng,4.63,20567,37017,1406,186,357,1851,8085,26538,https://images.gr-assets.com/books/1339340118m/12177850.jpg,https://images.gr-assets.com/books/1339340118s/12177850.jpg
9806,6801614,6801614,7008132,18,1421534541,9781421534540,"Eiichirō Oda",2005,"ONE PIECE 38","One Piece, Volume 38: Rocketman!! (One Piece, #38)",,4.63,8441,8706,34,61,112,589,1435,6509,https://images.gr-assets.com/books/1397155647m/6801614.jpg,https://images.gr-assets.com/books/1397155647s/6801614.jpg
8946,46292,46292,45423,91,9646534783,9789646534780,Hafez,1380,"دیوان‎‎ [Dīvān]","The Divan",eng,4.63,2773,6323,286,89,116,384,872,4862,https://images.gr-assets.com/books/1327770153m/46292.jpg,https://images.gr-assets.com/books/1327770153s/46292.jpg
9569,32075671,32075671,49638190,36,62498533,9780062498530,"Angie Thomas",2017,"The Hate U Give","The Hate U Give",eng,4.62,32610,38333,9038,208,321,1814,9207,26783,https://images.gr-assets.com/books/1476284759m/32075671.jpg,https://images.gr-assets.com/books/1476284759s/32075671.jpg
3241,22299763,22299763,42090179,29,,0,"Leigh Bardugo",2016,"Crooked Kingdom","Crooked Kingdom (Six of Crows, #2)",eng,4.62,44289,54160,10047,158,392,2732,13092,37786,https://images.gr-assets.com/books/1456172607m/22299763.jpg,https://images.gr-assets.com/books/1456172607s/22299763.jpg
2236,280111,280111,19119100,1101,310902711,9780310902710,Anonymous,1909,"Holy Bible: New International Version","Holy Bible: New International Version",eng,4.61,40430,45994,1804,1637,1131,2091,3664,37471,https://images.gr-assets.com/books/1382581321m/280111.jpg,https://images.gr-assets.com/books/1382581321s/280111.jpg
3054,2223324,2223324,498223,11,075791084X,9780757910840,"John   Williams",2003,"Harry Potter and the Chamber of Secrets: Sheet Music for Flute with C.D","Harry Potter and the Chamber of Secrets: Sheet Music for Flute with C.D",,4.61,29409,29421,31,345,310,1940,5396,21430,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
3095,6339989,6339989,10954714,8,1595142711,9781595142720,"Richelle Mead",2009,"Vampire Academy Collection","Vampire Academy Collection (Vampire Academy, #1-3)",,4.61,30166,30509,182,285,426,2082,5168,22548,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
25,136251,136251,2963218,263,545010225,9780545010220,"J.K. Rowling, Mary GrandPré",2007,"Harry Potter and the Deathly Hallows","Harry Potter and the Deathly Hallows (Harry Potter, #7)",eng,4.61,1746574,1847395,51942,9363,22245,113646,383914,1318227,https://images.gr-assets.com/books/1474171184m/136251.jpg,https://images.gr-assets.com/books/1474171184s/136251.jpg
780,77727,77727,2110010,24,836220889,9780836220890,"Bill Watterson, G.B. Trudeau",1987,"Calvin and Hobbes","Calvin and Hobbes",en-US,4.61,117788,118294,684,980,1435,7684,22365,85830,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
6902,596259,596259,582938,12,609807250,9780609807260,"Gordon B. Hinckley",2000,"Standing for Something: 10 Neglected Virtues That Will Heal Our Hearts and Homes","Standing for Something: 10 Neglected Virtues That Will Heal Our Hearts and Homes",,4.61,12708,13279,683,126,165,786,2622,9580,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7883,47697,47697,534309,4,811835928,9780811835920,"Alisa Kwitney, Neil Gaiman",2003,"The Sandman: King of Dreams","The Sandman: King of Dreams",eng,4.61,11538,11541,30,75,142,724,2342,8258,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7945,7025086,7025086,7272274,3,785135820,9780785135820,"Christopher Yost, Pasqual Ferry, Orson Scott Card",2010,,"Ender's Game, Volume 2: Command School",en-US,4.60,11585,11653,50,76,123,791,2419,8244,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1618,95617,95617,883913,36,842377506,9780842377510,"Francine Rivers, Richard Ferrone",1993,"A Voice in the Wind","A Voice in the Wind (Mark of the Lion, #1)",en-US,4.60,55556,56920,2647,680,903,3382,10680,41275,https://images.gr-assets.com/books/1459567327m/95617.jpg,https://images.gr-assets.com/books/1459567327s/95617.jpg
2940,46601,46601,522675,27,842313079,9780842313070,"Francine Rivers",1994,"An Echo in the Darkness (Mark of the Lion, #2)","An Echo in the Darkness (Mark of the Lion, #2)",en-US,4.60,32386,33451,1311,130,359,2138,7372,23452,https://images.gr-assets.com/books/1481920193m/46601.jpg,https://images.gr-assets.com/books/1481920193s/46601.jpg
1264,18006496,18006496,25272067,36,1619636042,9781619636040,"Sarah J. Maas",2015,"Queen of Shadows","Queen of Shadows (Throne of Glass, #4)",eng,4.60,99067,114854,14430,830,1492,6544,24703,81285,https://images.gr-assets.com/books/1441230104m/18006496.jpg,https://images.gr-assets.com/books/1441230104s/18006496.jpg
460,18335634,18335634,6309710,79,1406321346,9781406321340,"Cassandra Clare",2013,"Clockwork Princess","Clockwork Princess (The Infernal Devices, #3)",eng,4.59,162099,247984,23261,1935,3804,16964,49313,175968,https://images.gr-assets.com/books/1436788488m/18335634.jpg,https://images.gr-assets.com/books/1436788488s/18335634.jpg
964,30,30,89369,74,345538374,9780345538380,"J.R.R. Tolkien",1973,"The Hobbit and The Lord of the Rings","J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings",eng,4.59,90907,94348,1565,826,1281,5819,19982,66440,https://images.gr-assets.com/books/1346072396m/30.jpg,https://images.gr-assets.com/books/1346072396s/30.jpg
9190,14367051,14367051,20009001,5,1442472057,9781442472050,"Cassandra Clare",2012,,"City of Bones / City of Ashes / City of Glass / City of Fallen Angels / City of Lost Souls (The Mortal Instruments, #1-5)",,4.59,10426,11483,264,114,147,826,2137,8259,https://images.gr-assets.com/books/1344663518m/14367051.jpg,https://images.gr-assets.com/books/1344663518s/14367051.jpg
3215,2299110,2299110,3202442,31,312362153,9780312362160,"Sherrilyn Kenyon",2008,"Acheron (Dark-Hunter, #15) - Part 1","Acheron (Dark-Hunter #14)",en-US,4.59,44623,47736,3240,441,840,3238,8823,34394,https://images.gr-assets.com/books/1437687512m/2299110.jpg,https://images.gr-assets.com/books/1437687512s/2299110.jpg
3230,119,119,4479,7,618212906,9780618212900,"Gary Russell",2002,"The Lord of the Rings: The Art of The Fellowship of the Ring","The Lord of the Rings: The Art of The Fellowship of the Ring",en-US,4.59,24340,24412,67,211,220,1751,5011,17219,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
3395,71252,71252,2647,29,1563892049,9781563892040,"Neil Gaiman, Marc Hempel, Richard Case, D'Israeli, Teddy Kristiansen, Glyn Dillon, Charles Vess, Dean Ormston, Kevin Nowlan, Todd Klein, Frank McConnell",1996,"The Sandman: The Kindly Ones","The Kindly Ones (The Sandman #9)",eng,4.59,32544,35998,926,83,291,2165,9153,24306,https://images.gr-assets.com/books/1339922887m/71252.jpg,https://images.gr-assets.com/books/1339922887s/71252.jpg
4410,349254,349254,17150,10,618390979,9780618390980,"Jude Fisher",0,,"The Lord of the Rings: The Return of the King: Visual Companion",eng,4.59,17526,17641,28,157,202,1259,3458,12565,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
4708,9832370,9832370,27881851,1,,0,BookRags,0,,"BookRags Summary:  A Storm of Swords",eng,4.59,18960,18960,92,278,151,877,4460,13194,https://images.gr-assets.com/books/1369340463m/9832370.jpg,https://images.gr-assets.com/books/1369340463s/9832370.jpg
6977,11106458,11106458,16028692,3,1442440430,9781442440430,"Cassandra Clare",2011,"The Mortal Instrument Series: City of Bones / City of Ashes / City of Glass / City of Fallen Angels","The Mortal Instruments (The Mortal Instruments #1-4)",eng,4.59,13996,14474,376,142,221,940,2851,10320,https://images.gr-assets.com/books/1313073526m/11106458.jpg,https://images.gr-assets.com/books/1313073526s/11106458.jpg
3220,3165162,3165162,3197005,5,1423113497,9781423113490,"Rick Riordan",2008,"Percy Jackson and the Olympians Boxed Set","Percy Jackson and the Olympians (Percy Jackson and the Olympians, #1-3)",eng,4.58,32496,33031,509,286,418,2411,6699,23217,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
3491,20342617,20342617,28323940,18,812994523,9780812994520,"Bryan Stevenson",2014,"Just Mercy: A Story of Justice and Redemption","Just Mercy: A Story of Justice and Redemption",eng,4.58,27173,32008,5356,223,371,1791,7720,21903,https://images.gr-assets.com/books/1420795201m/20342617.jpg,https://images.gr-assets.com/books/1420795201s/20342617.jpg
8187,4808763,4808763,4873881,12,1884214495,9781884214490,"Isaac Asimov, Bob E. Flick, Jim Gallant",1956,"The Last Question (When the World Ends)","The Last Question",eng,4.58,11762,12651,760,50,146,819,3039,8597,https://images.gr-assets.com/books/1274107046m/4808763.jpg,https://images.gr-assets.com/books/1274107046s/4808763.jpg
8569,15767586,15767586,21473047,17,1250029880,9781250029880,"Sherrilyn Kenyon",2013,Styxx,"Styxx (Dark-Hunter, #22)",eng,4.58,14344,16857,2217,243,318,1024,3075,12197,https://images.gr-assets.com/books/1359269406m/15767586.jpg,https://images.gr-assets.com/books/1359269406s/15767586.jpg
8768,892295,892295,6164528,5,517502917,9780517502910,"Arthur Conan Doyle, William S. Baring-Gould",1967,"The Annotated Sherlock Holmes","The Annotated Sherlock Holmes: The Four Novels and the Fifty-Six Short Stories Complete (2 Volume Set)",,4.58,9551,9624,66,44,95,710,2161,6614,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
5754,17961,17961,835372,18,140286802,9780140286810,"Jorge Luis Borges, Andrew Hurley",1998,"Cuentos completos","Collected Fictions",eng,4.58,16474,16747,720,101,216,1050,3853,11527,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2167,28260587,28260587,25272004,26,1619636077,9781619636070,"Sarah J. Maas",2016,"Empire of Storms","Empire of Storms (Throne of Glass, #5)",eng,4.58,63322,74241,11495,717,1192,4416,15635,52281,https://images.gr-assets.com/books/1463107108m/28260587.jpg,https://images.gr-assets.com/books/1463107108s/28260587.jpg
1754,6485421,6485421,6676773,14,1416997857,9781416997860,"Cassandra Clare",2009,"The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass","The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass (The Mortal Instruments, #1-3)",eng,4.57,55518,57313,981,633,1054,4101,10768,40757,https://images.gr-assets.com/books/1312016549m/6485421.jpg,https://images.gr-assets.com/books/1312016549s/6485421.jpg
2244,17131869,17131869,23857485,24,1607066920,9781607066930,"Brian K. Vaughan, Fiona Staples",2013,"Saga, Volume Two","Saga, Vol. 2 (Saga, #2)",eng,4.57,56122,58127,4594,142,374,3059,17397,37155,https://images.gr-assets.com/books/1486028954m/17131869.jpg,https://images.gr-assets.com/books/1486028954s/17131869.jpg
3030,8718952,8718952,21984483,1,1595144331,9781595144330,"Richelle Mead",2010,,"Vampire Academy Box Set (Vampire Academy, #1-4)",en-US,4.57,33015,33016,110,572,646,2343,5285,24170,https://images.gr-assets.com/books/1281267849m/8718952.jpg,https://images.gr-assets.com/books/1281267849s/8718952.jpg
3266,4634266,4634266,4684374,14,,9784088745530,"Masashi Kishimoto",2008,"NARUTO -ナルト- 巻ノ四十三 ","NARUTO -ナルト- 巻ノ四十三",jpn,4.57,26364,26971,147,259,480,2170,4863,19199,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
307,1215032,1215032,2502882,102,756404738,9780756404730,"Patrick Rothfuss",2011,"The Wise Man's Fear","The Wise Man's Fear (The Kingkiller Chronicle, #2)",eng,4.57,245686,282349,15503,1486,4018,17932,66415,192498,https://images.gr-assets.com/books/1452624392m/1215032.jpg,https://images.gr-assets.com/books/1452624392s/1215032.jpg
4911,6443349,6443349,40697560,23,1423119509,9781423119500,"Rick Riordan, Tk",2009,"Percy Jackson and the Olympians","Percy Jackson and the Olympians Boxed Set (Percy Jackson and the Olympians, #1-5)",,4.57,19555,22766,850,173,279,1678,4957,15679,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
6089,545425,545425,532703,88,9953320993,0,"Safiy al-Rahman al-Mubarakfuri",1979," الرحيق المختوم: بحث في السيرة النبوية على صاحبها أفضل الصلاة والسلام ","الرحيق المختوم",ara,4.57,10558,13177,1141,145,205,919,2664,9244,https://images.gr-assets.com/books/1289025514m/545425.jpg,https://images.gr-assets.com/books/1289025514s/545425.jpg
9712,17333174,17333174,24064358,14,425270696,9780425270690,"Ilona Andrews",2016,"Magic Binds","Magic Binds (Kate Daniels, #9)",eng,4.57,10983,14525,1656,28,66,894,4089,9448,https://images.gr-assets.com/books/1454609590m/17333174.jpg,https://images.gr-assets.com/books/1454609590s/17333174.jpg
9470,29236299,29236299,44560442,21,553499165,9780553499160,"Amie Kaufman, Jay Kristoff, Marie Lu",2016,Gemina,"Gemina (The Illuminae Files, #2)",eng,4.56,10960,17426,4612,92,169,972,4803,11390,https://images.gr-assets.com/books/1480097137m/29236299.jpg,https://images.gr-assets.com/books/1480097137s/29236299.jpg
3736,10785687,10785687,15697851,8,62101897,9780062101890,"Bob McCabe",2011,"Harry Potter Page to Screen: The Complete Filmmaking Journey","Harry Potter Page to Screen: The Complete Filmmaking Journey",,4.56,27361,27610,369,477,480,2151,4630,19872,https://images.gr-assets.com/books/1317345385m/10785687.jpg,https://images.gr-assets.com/books/1317345385s/10785687.jpg
4373,17880714,30166123,25040772,20,,0,"K. Bromberg",2014,Crashed,"Crashed (Driven, #3)",eng,4.56,32520,35153,3237,203,533,2514,7993,23910,https://images.gr-assets.com/books/1391008361m/17880714.jpg,https://images.gr-assets.com/books/1391008361s/17880714.jpg
2767,19358975,19358975,27422060,22,1607069318,9781607069320,"Brian K. Vaughan, Fiona Staples",2014,"Saga, Volume Three","Saga, Vol. 3 (Saga, #3)",eng,4.56,47549,49016,3506,145,358,2805,14440,31268,https://images.gr-assets.com/books/1486028973m/19358975.jpg,https://images.gr-assets.com/books/1486028973s/19358975.jpg
6141,1317181,1317181,19079807,8,185549664X,9781855496640,"J.K. Rowling",2003,,"Harry Potter and the Order of the Phoenix (Harry Potter, #5, Part 1)",,4.56,16249,16350,272,114,199,1182,3744,11111,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
6214,15743078,15743078,21431022,8,62240080,9780062240090,"Veronica Roth",2012,,"The Divergent Series 2-Book Collection (Divergent, #1-2)",eng,4.56,12490,14038,255,158,254,1059,2666,9901,https://images.gr-assets.com/books/1341816250m/15743078.jpg,https://images.gr-assets.com/books/1341816250s/15743078.jpg
1496,147915,147915,6571827,49,7119550,9780007119550,"George R.R. Martin",2000,"A Storm of Swords: Part 2 Blood and Gold","A Storm of Swords: Blood and Gold (A Song of Ice and Fire, #3: Part 2 of 2)",eng,4.56,54977,64173,1959,275,572,4041,17151,42134,https://images.gr-assets.com/books/1354567206m/147915.jpg,https://images.gr-assets.com/books/1354567206s/147915.jpg
